time,flowcount
"05/16/2022, 12:20:51",1
"05/16/2022, 12:20:54",1
"05/16/2022, 12:20:57",1
"05/16/2022, 12:21:00",1
"05/16/2022, 12:21:03",1
"05/16/2022, 12:21:06",1
"05/16/2022, 12:21:10",1
"05/16/2022, 12:21:13",1
"05/16/2022, 12:21:16",1
"05/16/2022, 12:21:19",1
"05/16/2022, 12:21:22",1
"05/16/2022, 12:21:25",1
"05/16/2022, 12:21:28",1
"05/16/2022, 12:21:31",1
"05/16/2022, 12:21:34",1
"05/16/2022, 12:21:37",1
"05/16/2022, 12:21:40",1
"05/16/2022, 12:21:43",1
"05/16/2022, 12:21:46",1
"05/16/2022, 12:21:49",1
"05/16/2022, 12:21:52",1
"05/16/2022, 12:21:55",1
"05/16/2022, 12:21:58",1
"05/16/2022, 12:22:01",1
"05/16/2022, 12:22:04",1
"05/16/2022, 12:22:08",1
"05/16/2022, 12:22:11",1
"05/16/2022, 12:22:14",1
"05/16/2022, 12:22:17",1
"05/16/2022, 12:22:20",1
"05/16/2022, 12:22:20",1
"05/16/2022, 12:22:23",1
"05/16/2022, 12:22:26",1
"05/16/2022, 12:22:29",1
"05/16/2022, 12:22:33",1
"05/16/2022, 12:22:36",1
"05/16/2022, 12:22:40",1
"05/16/2022, 12:22:43",1
"05/16/2022, 12:22:47",1
"05/16/2022, 12:22:50",1
"05/16/2022, 12:22:54",1
"05/16/2022, 12:22:58",1
"05/16/2022, 12:23:02",1
"05/16/2022, 12:23:06",1
"05/16/2022, 12:23:10",1
"05/16/2022, 12:23:14",1
"05/16/2022, 12:23:19",1
"05/16/2022, 12:23:23",1
"05/16/2022, 12:23:28",1
"05/16/2022, 12:23:33",1
"05/16/2022, 12:23:38",1
"05/16/2022, 12:23:44",1
"05/16/2022, 12:23:49",1
"05/16/2022, 12:23:55",1
"05/16/2022, 12:24:00",1
"05/16/2022, 12:24:07",1
"05/16/2022, 12:24:13",1
"05/16/2022, 12:24:19",1
"05/16/2022, 12:24:26",1
"05/16/2022, 12:24:33",1
"05/16/2022, 12:24:42",1
"05/16/2022, 12:24:50",1
"05/16/2022, 12:24:58",1
"05/16/2022, 12:25:07",1
"05/16/2022, 12:25:17",1
